0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
4,1,102,7.38461538462,3,0,2,0,4,2,4,1,0,2,3,3,2
4,1,510,7.19230769231,2,2,3,2,2,1,1,1,2,3,2,2,3
4,0,294,6.26923076923,3,2,4,3,1,1,1,2,2,3,1,0,3
4,0,391,6.53846153846,3,2,1,3,1,3,2,2,2,2,3,2,0
4,0,96,7.34615384615,2,1,3,2,2,0,3,3,1,1,3,2,3
4,1,397,7.0,4,2,2,2,0,1,1,2,3,3,1,2,3
4,1,42,6.07692307692,2,4,2,3,1,2,3,2,2,2,0,1,2
4,1,334,6.53846153846,2,2,3,2,2,3,1,3,3,0,1,2,2
4,1,371,6.84615384615,3,2,2,2,2,2,3,0,0,3,2,3,2
4,1,143,6.57692307692,2,2,2,2,3,3,1,2,3,2,2,0,2
4,0,491,7.0,3,1,1,2,4,2,2,1,0,4,2,2,2
4,0,129,6.69230769231,2,2,3,2,3,1,2,1,3,1,2,3,1
4,0,516,7.69230769231,1,2,2,2,0,2,3,3,1,3,3,0,4
4,0,74,7.11538461538,2,2,2,3,2,2,1,1,2,2,2,1,4
4,0,228,8.26923076923,1,0,1,2,3,2,2,2,1,4,2,3,3
4,1,510,7.65384615385,3,1,2,0,3,2,0,2,2,3,2,3,3
4,0,49,6.88461538462,2,3,1,2,3,2,3,0,2,1,3,1,3
4,0,116,7.34615384615,1,1,2,3,1,3,2,3,2,2,3,1,2
4,1,152,7.19230769231,2,3,1,3,1,2,1,1,2,3,2,3,2
4,1,409,6.5,3,2,2,1,3,2,2,2,3,3,0,1,2
4,0,36,7.61538461538,3,2,0,1,2,2,2,3,1,2,2,2,4
4,1,103,6.0,3,3,3,2,2,3,1,1,1,3,1,2,1
4,1,152,7.34615384615,0,3,3,3,1,2,1,3,0,3,1,3,3
4,1,113,7.42307692308,1,2,2,2,2,2,3,2,2,0,2,3,3
4,0,175,7.84615384615,2,0,2,1,3,1,2,1,4,3,3,2,2
4,1,250,7.53846153846,0,2,2,3,0,4,3,0,2,4,2,3,1
4,1,227,6.61538461538,3,2,3,2,3,2,1,0,1,2,2,2,3
4,0,58,7.07692307692,1,2,3,2,2,2,2,2,2,1,3,3,1
4,0,159,7.38461538462,2,2,2,1,1,3,1,2,2,4,2,2,2
4,0,286,7.96153846154,2,2,2,0,2,1,1,1,4,2,3,3,3
4,0,296,6.92307692308,3,2,1,1,2,2,3,2,2,2,4,1,1
4,1,119,6.88461538462,1,1,4,3,2,2,1,3,2,2,1,2,2
4,0,56,7.38461538462,2,2,3,1,3,1,0,2,1,3,2,3,3
4,1,225,6.65384615385,2,2,3,3,1,2,2,3,1,1,3,0,3
4,1,386,7.19230769231,1,2,3,2,0,3,3,1,2,3,3,2,1
4,1,118,6.19230769231,3,2,2,2,2,3,4,2,1,1,1,1,2
4,1,387,7.42307692308,1,1,2,3,3,2,2,2,1,0,4,3,2
4,1,33,6.80769230769,2,3,1,1,2,3,2,3,3,2,1,1,2
4,0,56,7.46153846154,1,2,1,4,2,2,2,0,2,1,4,3,2
4,1,57,6.65384615385,2,1,3,2,1,3,3,3,1,3,3,1,0
4,1,83,7.15384615385,2,2,1,3,2,2,2,1,2,2,3,2,2
4,1,191,6.61538461538,4,2,1,2,1,2,3,3,1,1,2,2,2
4,1,138,7.11538461538,1,3,3,3,1,1,1,2,3,1,2,1,4
4,1,701,6.65384615385,2,3,2,3,2,1,2,1,3,1,2,2,2
4,0,71,8.11538461538,2,1,0,3,1,1,2,2,2,3,4,3,2
4,1,84,6.5,2,3,1,3,2,2,3,2,3,1,0,2,2
4,1,337,6.19230769231,3,2,3,2,3,2,1,2,1,2,3,1,1
4,0,203,6.38461538462,2,4,1,2,2,3,2,3,0,3,1,1,2
4,0,55,7.19230769231,2,4,1,0,3,1,2,2,2,2,1,4,2
4,1,181,7.03846153846,3,1,3,1,1,3,2,2,1,2,3,2,2
4,1,45,6.26923076923,2,4,2,2,2,3,2,0,2,2,2,2,1
4,1,261,6.23076923077,2,2,3,3,2,2,3,3,1,1,1,1,2
4,0,67,7.23076923077,2,2,2,2,3,2,1,0,3,1,2,3,3
4,0,247,6.15384615385,2,1,3,2,4,3,3,1,2,2,2,1,0
4,1,126,7.38461538462,1,2,2,2,2,1,3,2,3,1,3,2,2
4,1,75,5.88461538462,3,4,1,4,2,2,2,1,1,0,3,2,1
4,0,600,7.03846153846,2,1,3,1,1,2,3,3,4,1,3,1,1
4,0,109,7.57692307692,2,1,1,2,3,1,2,2,2,3,3,2,2
4,1,156,7.0,2,3,2,1,2,2,2,1,3,1,3,2,2
4,1,210,7.15384615385,3,0,3,2,3,3,1,0,1,2,3,1,4
4,1,135,6.73076923077,0,3,3,2,3,1,3,3,1,3,2,1,1
4,1,157,6.53846153846,3,3,3,0,1,3,2,2,1,2,3,2,1
4,1,83,6.76923076923,1,2,4,1,3,3,1,3,2,0,2,1,3
4,0,185,7.0,3,1,3,1,3,2,1,2,0,2,4,2,2
4,1,93,8.07692307692,0,1,2,3,2,1,3,2,2,1,3,2,4
4,0,42,7.15384615385,1,1,3,2,3,3,1,3,0,3,2,2,2
4,0,168,6.80769230769,2,2,2,2,2,2,2,3,3,2,0,2,2
4,0,189,8.19230769231,0,2,0,1,3,3,2,2,3,3,2,2,3
4,0,53,7.92307692308,2,2,0,0,2,3,2,2,4,1,2,4,2
4,0,100,6.76923076923,2,1,3,1,3,2,3,2,3,2,1,2,1
4,1,299,7.57692307692,2,3,0,1,3,1,3,1,1,3,2,4,2
4,1,313,6.53846153846,2,2,2,2,3,1,3,3,3,2,1,0,2
4,1,96,6.57692307692,3,2,2,1,4,2,1,1,2,3,2,2,1
4,1,32,6.15384615385,3,3,4,3,1,1,1,0,3,1,2,2,2
4,1,164,7.42307692308,2,3,1,0,1,2,3,3,3,2,2,1,3
4,0,540,6.38461538462,2,3,1,2,4,2,3,1,2,2,1,2,1
4,1,46,6.92307692308,1,3,2,3,2,2,2,2,1,1,2,3,2
4,0,176,7.07692307692,3,1,2,2,2,2,2,1,2,3,2,1,3
4,1,135,6.53846153846,3,2,3,2,1,2,2,2,2,1,2,3,1
4,1,113,7.0,3,2,2,1,2,3,1,1,2,2,3,1,3
4,0,173,7.53846153846,1,1,0,4,3,4,1,0,3,3,1,2,3
4,0,202,7.19230769231,2,1,3,2,3,1,1,2,2,2,3,1,3
4,0,92,7.26923076923,1,2,3,1,1,3,2,2,3,3,1,2,2
4,1,105,6.96153846154,2,2,1,2,2,2,3,3,1,3,3,1,1
4,0,260,6.57692307692,2,2,3,3,2,2,1,1,2,3,2,2,1
4,0,73,8.46153846154,1,0,1,1,3,2,2,3,2,3,1,3,4
4,1,270,7.57692307692,2,2,1,2,0,4,2,2,1,2,2,3,3
4,0,195,7.61538461538,2,1,1,2,1,3,3,1,3,2,3,1,3
4,1,72,6.65384615385,2,2,2,3,2,3,2,2,1,2,1,1,3
4,1,253,6.96153846154,3,1,1,1,3,4,2,2,1,2,3,1,2
4,1,375,7.30769230769,0,3,1,2,2,4,2,1,3,3,1,3,1
4,0,245,6.88461538462,3,1,3,2,0,3,1,2,3,2,3,3,0
4,0,387,5.61538461538,4,3,2,3,1,3,3,0,2,2,1,1,1
4,0,54,8.07692307692,1,2,0,2,1,3,3,1,3,1,3,3,3
4,0,137,7.5,2,1,3,1,0,2,3,2,3,3,2,2,2
4,0,200,7.38461538462,2,1,3,1,2,3,2,0,3,1,3,2,3
4,0,101,7.73076923077,0,4,2,1,1,2,1,2,2,3,3,3,2
4,0,85,6.92307692308,2,3,0,4,2,3,2,0,1,2,2,2,3
4,1,264,7.03846153846,3,2,2,1,2,2,2,1,2,2,3,1,3
4,1,107,7.15384615385,0,2,1,4,4,2,2,3,1,1,1,2,3
4,1,156,6.88461538462,0,3,2,2,4,3,1,2,2,1,3,2,1
4,0,216,6.57692307692,2,3,3,1,2,3,2,1,1,2,3,1,2
4,1,104,6.57692307692,2,2,2,2,4,2,1,3,2,1,2,1,2
4,1,85,7.26923076923,3,0,1,2,2,3,3,2,1,3,2,3,1
4,0,551,7.53846153846,1,0,2,4,1,1,4,2,3,3,1,2,2
4,1,120,6.76923076923,3,2,2,2,2,1,3,2,1,1,3,2,2
4,0,80,6.61538461538,3,2,2,2,2,2,2,0,3,3,3,1,1
4,0,104,7.30769230769,3,1,1,1,4,1,1,2,2,4,2,3,1
4,0,203,6.84615384615,2,1,3,2,3,2,3,2,0,1,3,2,2
4,1,109,7.11538461538,1,2,2,1,3,3,3,1,3,1,3,1,2
4,0,43,7.19230769231,2,2,1,2,2,1,3,3,3,1,2,2,2
4,0,234,6.61538461538,2,2,2,2,3,3,1,2,2,2,3,1,1
4,0,158,7.26923076923,1,4,1,2,0,4,2,1,3,1,2,1,4
4,1,75,7.07692307692,3,1,2,2,2,0,2,3,3,1,4,3,0
4,0,243,6.26923076923,3,3,4,1,1,2,2,0,2,3,2,2,1
4,1,144,7.34615384615,1,2,3,1,2,2,2,1,3,3,1,4,1
4,1,97,7.73076923077,0,1,2,2,2,3,3,1,3,3,2,3,1
4,1,79,7.53846153846,1,1,2,3,2,1,3,3,1,2,2,2,3
4,0,48,7.80769230769,2,2,0,0,3,4,2,1,1,2,4,2,3
4,0,218,7.03846153846,1,2,4,2,0,3,3,2,0,2,3,2,2
4,1,258,6.80769230769,3,2,1,2,2,2,0,4,3,3,2,0,2
4,1,90,6.73076923077,2,3,2,2,1,2,4,1,2,2,0,3,2
4,1,84,7.15384615385,2,3,2,1,1,3,2,2,1,2,1,3,3
4,1,236,7.65384615385,1,2,1,2,3,3,1,2,1,2,2,2,4
4,1,539,7.65384615385,0,1,3,3,1,2,2,4,1,2,3,1,3
4,1,52,7.42307692308,0,1,2,1,4,2,3,3,3,3,2,1,1
4,0,303,6.96153846154,3,3,1,2,1,0,3,2,4,1,1,3,2
4,1,47,6.46153846154,2,3,2,3,2,2,1,2,2,2,2,2,1
4,0,308,6.38461538462,2,3,2,3,2,1,2,2,4,2,0,1,2
4,0,61,8.23076923077,0,1,1,2,4,2,1,2,3,1,3,2,4
4,0,15,7.30769230769,2,2,2,2,1,2,2,2,1,3,2,3,2
4,0,71,5.96153846154,3,3,3,3,2,2,0,1,3,3,0,1,2
4,1,171,6.88461538462,3,2,1,2,2,3,2,1,1,3,2,2,2
4,1,235,6.61538461538,1,3,3,3,2,1,3,0,4,1,1,2,2
4,1,242,6.15384615385,2,3,3,3,1,2,3,2,2,1,1,1,2
4,0,248,7.15384615385,2,2,3,1,2,2,1,2,3,2,0,3,3
4,1,438,7.76923076923,1,2,3,0,3,1,2,2,1,4,0,3,4
4,0,266,7.57692307692,0,2,2,2,1,3,2,2,4,3,2,1,2
4,1,292,6.53846153846,1,2,3,4,2,2,1,3,2,2,0,3,1
4,0,234,6.69230769231,3,1,3,3,1,3,1,3,0,2,2,0,4
4,1,305,6.57692307692,2,3,2,1,3,1,4,2,1,2,3,0,2
4,1,145,7.5,1,1,2,2,2,4,0,3,3,2,2,1,3
4,0,90,7.19230769231,1,3,2,2,1,2,2,3,1,3,2,2,2
4,0,158,6.03846153846,4,3,3,1,3,1,1,2,2,0,2,2,2
4,0,104,7.61538461538,3,1,1,2,1,1,3,3,2,0,3,3,3
4,1,179,6.76923076923,2,3,3,2,1,1,2,3,1,2,2,1,3
4,1,84,6.88461538462,3,2,2,0,2,3,0,3,4,2,3,1,1
4,1,89,6.23076923077,3,2,1,2,2,4,3,2,2,2,1,2,0
4,0,347,6.57692307692,3,2,2,1,3,3,1,1,2,2,4,2,0
4,1,253,6.73076923077,3,1,1,2,2,3,3,3,2,2,1,2,1
4,1,83,6.65384615385,2,3,2,4,1,2,1,1,1,2,3,3,1
4,1,171,7.30769230769,3,0,3,1,2,1,2,2,4,1,3,3,1
4,1,257,6.76923076923,3,0,2,2,3,2,2,3,4,2,0,1,2
4,0,39,7.30769230769,1,2,1,3,3,2,1,2,2,3,2,2,2
4,1,79,7.19230769231,2,2,1,2,1,2,3,3,2,2,3,2,1
4,1,130,7.73076923077,2,1,3,1,1,2,2,3,0,2,3,2,4
4,1,45,6.03846153846,2,3,4,1,2,2,3,3,2,0,1,2,1
4,1,85,8.0,3,2,0,1,0,1,2,2,3,4,4,2,2
4,1,283,7.26923076923,2,0,3,1,4,3,1,3,1,1,1,3,3
4,0,166,7.34615384615,2,2,1,2,1,2,3,2,1,3,4,2,1
4,1,123,7.53846153846,2,0,4,2,1,1,1,2,4,2,3,1,3
4,1,116,6.23076923077,1,3,3,4,3,1,2,1,2,1,2,2,1
4,0,169,7.23076923077,3,1,2,0,3,1,4,3,0,1,4,2,2
4,1,61,7.84615384615,1,1,3,2,2,1,1,3,1,2,3,3,3
4,1,31,6.92307692308,2,2,2,2,1,2,3,1,4,2,3,1,1
4,1,167,7.34615384615,1,2,1,2,3,1,2,4,2,2,3,2,1
4,0,321,8.34615384615,1,0,1,3,3,0,1,3,2,3,3,4,2
4,0,197,6.80769230769,3,3,2,1,2,2,1,3,0,1,3,3,2
4,0,48,7.5,2,2,2,3,0,3,1,1,1,2,2,4,3
4,0,63,7.84615384615,3,2,0,1,2,0,3,1,3,3,2,3,3
4,1,299,7.80769230769,2,2,2,2,0,1,1,2,2,3,4,3,2
4,1,228,6.38461538462,3,3,2,2,3,1,1,2,2,2,2,0,3
4,0,61,7.84615384615,0,2,2,2,3,0,3,2,1,3,3,3,2
4,1,538,7.11538461538,0,2,3,2,3,1,3,3,2,2,2,1,2
4,0,61,7.69230769231,2,0,2,3,1,2,1,3,2,3,3,1,3
4,0,137,7.07692307692,2,4,1,3,1,1,3,1,0,2,1,3,4
4,1,130,7.53846153846,1,3,0,1,2,2,4,2,3,2,2,2,2
4,0,191,7.34615384615,2,1,2,3,1,1,3,1,3,3,2,2,2
4,1,335,6.80769230769,1,3,2,4,2,1,1,3,1,3,0,3,2
4,1,89,7.38461538462,2,3,1,1,1,2,2,3,1,4,2,1,3
4,1,137,7.61538461538,2,2,2,2,1,2,0,3,1,2,3,3,3
4,0,47,7.38461538462,1,3,2,2,1,0,3,3,2,3,1,3,2
4,0,112,7.11538461538,2,1,2,2,3,2,1,2,4,1,3,1,2
4,1,378,7.34615384615,2,2,0,3,3,1,3,2,1,1,3,2,3
4,1,232,6.92307692308,3,1,3,2,1,2,1,4,1,3,0,2,3
4,1,325,6.61538461538,4,2,2,3,0,1,2,2,2,2,3,0,3
4,1,170,7.76923076923,3,1,0,1,2,1,3,3,4,0,3,2,3
4,1,185,6.80769230769,2,1,2,2,2,4,2,2,3,2,1,2,1
4,0,26,7.0,2,2,2,1,2,3,1,4,3,0,2,2,2
4,1,165,6.76923076923,0,3,3,2,3,3,2,1,2,1,4,0,2
4,1,245,7.88461538462,1,2,2,1,1,2,2,3,2,1,3,4,2
4,0,122,7.30769230769,1,1,2,2,2,2,4,3,2,1,2,3,1
4,1,398,7.76923076923,2,2,1,1,1,2,2,1,4,3,2,3,2
4,0,459,6.23076923077,2,3,2,2,2,2,4,2,3,1,0,2,1
4,1,187,7.5,0,2,1,3,3,2,3,1,2,2,3,3,1
4,1,232,6.76923076923,2,2,3,1,2,4,2,1,2,0,3,2,2
4,1,173,7.0,1,3,3,3,0,2,2,1,3,2,1,3,2
4,0,172,6.53846153846,1,2,4,2,3,3,2,0,2,2,1,3,1
4,1,42,6.80769230769,3,2,1,3,2,0,2,2,3,3,3,1,1
4,1,340,7.84615384615,1,1,1,3,1,3,1,3,2,4,1,2,3
4,0,117,6.0,3,3,2,3,2,2,2,1,2,2,1,3,0
4,1,179,6.30769230769,2,2,2,3,1,3,3,3,2,2,2,1,0
4,1,143,7.53846153846,2,1,2,1,2,3,1,2,3,3,1,2,3
4,0,55,7.0,3,2,3,1,0,2,2,2,3,2,2,1,3
4,1,31,6.57692307692,2,1,3,2,2,3,3,2,2,2,1,3,0
4,0,339,6.26923076923,2,3,3,2,3,3,1,0,1,3,2,2,1
4,1,152,6.11538461538,4,2,2,2,2,4,1,0,2,2,3,1,1
4,0,20,8.15384615385,1,0,2,1,4,1,2,2,2,2,3,4,2
4,1,31,6.61538461538,1,4,2,2,2,3,1,2,1,4,1,1,2
4,1,130,6.92307692308,3,3,2,1,2,0,2,2,3,2,1,2,3
4,0,52,7.26923076923,3,1,2,2,0,2,3,3,2,1,2,2,3
4,1,247,7.61538461538,2,1,1,1,3,2,2,3,2,2,2,3,2
4,1,81,6.92307692308,2,2,3,0,3,2,2,2,2,2,3,2,1
4,0,67,7.73076923077,0,0,2,4,2,2,3,3,1,3,1,3,2
4,1,91,5.92307692308,3,4,1,2,4,1,2,1,3,0,3,2,0
4,0,425,7.26923076923,3,1,2,3,1,1,3,0,2,2,3,2,3
4,0,102,7.19230769231,2,1,2,3,1,2,1,3,3,3,2,1,2
4,0,225,7.03846153846,2,2,2,1,2,2,1,4,3,3,1,1,2
4,1,313,7.34615384615,1,2,1,3,3,1,1,2,4,3,1,2,2
4,0,114,6.96153846154,3,2,2,1,4,0,2,1,2,2,3,1,3
4,0,135,6.76923076923,2,3,3,1,2,1,1,2,4,2,1,3,1
4,0,518,6.96153846154,2,1,0,3,2,4,3,3,2,2,2,0,2
