0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
3,0,97,7.92307692308,1,1,2,2,1,4,2,1,1,3,1,3,4
3,0,118,7.0,2,2,2,3,2,2,1,1,4,0,2,2,3
3,1,133,6.80769230769,2,3,2,2,1,2,3,0,3,3,2,1,2
3,0,39,7.88461538462,2,3,1,0,1,1,2,2,2,4,3,3,2
3,0,97,5.88461538462,3,3,3,4,2,1,1,1,1,2,2,2,1
3,1,961,7.19230769231,2,1,3,3,1,1,1,2,3,3,2,3,1
3,1,161,7.57692307692,2,1,1,2,1,3,2,3,1,3,4,1,2
3,0,715,6.34615384615,3,0,2,3,3,3,3,2,1,3,2,0,1
3,1,289,7.07692307692,2,2,0,2,3,2,3,3,2,2,2,1,2
3,0,93,7.84615384615,1,1,3,2,0,3,2,2,2,1,3,3,3
3,0,172,5.88461538462,3,2,4,3,3,0,2,1,2,3,0,2,1
3,1,157,6.73076923077,1,1,3,3,4,2,0,4,1,2,3,1,1
3,1,701,7.46153846154,2,3,1,1,2,2,1,1,3,2,4,1,3
3,1,1199,7.23076923077,1,4,3,1,2,1,1,1,2,2,2,3,3
3,0,77,6.38461538462,3,3,3,1,2,1,3,1,1,3,2,1,2
3,1,171,7.38461538462,1,2,2,1,2,3,1,3,3,3,1,2,2
3,0,365,6.88461538462,2,2,2,2,2,2,1,3,4,1,2,1,2
3,0,65,6.53846153846,3,3,3,2,1,1,2,2,1,2,1,2,3
3,0,77,6.61538461538,3,2,2,1,4,2,1,1,2,2,3,2,1
3,0,229,6.88461538462,0,1,3,4,2,4,1,2,3,2,1,2,1
3,0,115,7.03846153846,2,2,2,2,2,2,1,2,4,2,1,1,3
3,1,97,6.76923076923,2,3,0,2,3,2,3,3,2,2,1,0,3
3,1,207,6.76923076923,3,2,3,0,1,4,2,1,3,1,2,2,2
3,0,229,6.38461538462,2,4,1,2,4,1,2,1,3,1,1,3,1
3,1,73,5.84615384615,3,3,4,1,2,1,3,2,1,2,3,1,0
3,1,229,8.11538461538,2,1,2,0,2,1,2,3,2,1,4,3,3
3,0,328,6.88461538462,1,3,2,2,3,2,2,2,1,2,2,2,2
3,0,71,8.19230769231,1,3,0,1,3,0,3,1,2,2,3,4,3
3,1,129,6.73076923077,2,3,3,2,2,0,2,3,2,2,0,1,4
3,0,157,7.46153846154,2,1,0,3,4,1,2,2,2,2,3,1,3
3,1,181,7.34615384615,2,1,1,1,1,4,3,3,2,3,2,3,0
3,1,79,7.19230769231,1,3,1,2,1,2,3,3,3,2,2,1,2
3,1,25,6.73076923077,0,2,3,2,4,1,3,3,2,3,1,2,0
3,1,30,6.88461538462,3,0,2,3,2,4,1,2,1,1,3,3,1
3,0,159,5.57692307692,3,2,4,4,3,1,1,1,3,1,1,0,2
3,1,85,7.19230769231,3,3,0,3,2,1,1,1,3,0,3,3,3
3,0,67,6.88461538462,3,3,3,1,0,1,2,2,2,2,3,2,2
3,1,135,6.88461538462,3,3,1,2,1,1,1,3,3,2,3,2,1
3,1,183,6.53846153846,2,3,1,3,3,2,2,1,2,3,0,2,2
3,1,171,6.19230769231,2,1,2,3,3,3,3,4,2,0,1,2,0
3,1,279,7.69230769231,0,2,1,3,1,2,2,4,3,3,1,2,2
3,0,229,6.34615384615,2,2,2,3,3,1,3,2,2,2,3,1,0
3,1,208,7.15384615385,2,3,1,0,2,2,3,3,4,1,0,3,2
3,0,225,6.53846153846,4,1,3,1,1,3,3,0,2,3,3,0,2
3,0,115,7.92307692308,1,2,2,1,1,3,2,1,2,3,2,2,4
3,0,423,6.84615384615,3,2,1,2,3,1,2,2,2,2,3,1,2
3,0,282,6.65384615385,3,2,2,1,2,2,3,2,2,1,4,1,1
3,0,65,6.88461538462,3,2,2,2,1,2,3,2,2,0,1,3,3
3,1,655,7.0,2,1,2,4,2,1,3,0,2,4,1,2,2
3,0,97,6.34615384615,2,2,2,4,3,2,1,2,2,2,1,1,2
3,0,187,7.57692307692,3,0,2,1,1,2,3,2,2,4,2,2,2
3,1,442,6.53846153846,1,4,2,2,3,2,1,2,2,2,3,0,2
3,0,148,6.61538461538,3,3,3,2,0,1,2,2,3,1,1,3,2
