0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8,0,26,7.5,2,1,2,1,2,2,3,1,3,2,3,2,2
8,1,169,7.38461538462,2,2,1,2,1,3,2,2,3,2,0,3,3
8,0,79,7.19230769231,1,3,3,1,3,1,2,2,1,1,2,3,3
8,0,78,7.15384615385,3,2,1,1,2,1,2,3,3,3,1,2,2
8,0,25,7.80769230769,2,2,2,1,0,3,1,2,2,2,3,3,3
8,0,38,7.15384615385,2,1,4,1,2,2,0,3,2,3,3,0,3
8,0,115,7.07692307692,2,2,1,3,2,3,0,3,2,1,3,2,2
8,0,115,7.15384615385,1,3,1,2,1,3,3,2,3,2,1,2,2
8,0,39,7.0,2,3,2,1,2,3,1,2,2,1,2,2,3
8,0,3,7.73076923077,1,2,1,2,1,3,2,3,2,2,1,3,3
8,1,144,7.26923076923,2,1,1,1,2,3,4,2,2,3,3,1,1
8,1,188,6.76923076923,3,3,1,2,2,1,3,1,3,1,1,2,3
8,0,68,7.76923076923,1,3,2,1,0,1,3,3,3,1,2,3,3
8,0,8,7.23076923077,2,3,1,1,1,2,2,3,3,2,2,3,1
8,0,75,8.38461538462,1,2,1,2,1,1,2,2,2,1,3,4,4
8,1,70,7.0,3,1,2,2,1,2,3,3,2,1,1,3,2
8,1,23,7.46153846154,2,2,2,1,0,3,2,3,3,0,4,1,3
8,1,171,7.46153846154,1,3,1,2,2,1,4,1,1,3,1,4,2
8,0,47,7.96153846154,2,1,1,2,2,1,0,2,4,4,2,3,2
8,1,68,6.61538461538,3,2,2,4,0,3,1,2,0,3,2,2,2
8,0,118,7.46153846154,2,3,2,0,1,1,3,2,2,4,1,2,3
8,0,85,6.5,3,3,2,3,1,1,2,3,1,1,1,2,3
8,0,63,6.34615384615,2,2,2,3,2,3,3,2,2,0,3,1,1
8,1,45,6.73076923077,2,1,2,4,2,2,2,2,2,3,0,3,1
8,1,86,7.11538461538,2,2,1,1,2,3,3,2,3,1,4,0,2
8,1,53,6.23076923077,3,2,3,2,3,2,1,3,1,1,1,2,2
8,1,87,6.19230769231,4,1,3,2,2,1,2,3,2,3,1,1,1
8,1,54,6.23076923077,3,3,3,2,2,2,0,3,1,2,1,2,2
8,1,120,6.76923076923,0,3,4,0,3,2,3,2,3,2,2,1,1
8,1,49,7.15384615385,2,3,2,2,1,1,1,4,0,4,0,4,2
8,1,42,7.57692307692,1,3,1,2,2,2,1,2,1,4,2,2,3
8,1,36,6.65384615385,0,3,4,2,3,3,2,0,1,3,1,2,2
8,1,34,6.92307692308,2,2,1,2,2,2,4,2,2,3,0,3,1
8,0,99,7.19230769231,1,3,3,0,3,0,3,3,0,3,4,2,1
8,0,37,6.57692307692,4,3,2,3,0,1,1,2,2,1,2,1,4
8,1,84,6.38461538462,3,2,2,1,3,2,4,2,1,1,3,0,2
8,0,114,7.53846153846,1,1,2,3,1,3,1,2,4,3,0,2,3
8,0,45,7.73076923077,3,2,1,0,1,1,3,2,2,3,3,3,2
8,1,48,7.34615384615,1,2,2,2,2,3,2,2,1,2,2,2,3
8,0,97,7.07692307692,2,2,2,3,3,0,1,2,3,2,0,3,3
8,1,50,6.84615384615,3,1,2,2,4,2,1,3,0,1,2,1,4
8,1,59,7.34615384615,3,1,2,1,2,4,0,1,2,3,1,3,3
