0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10,0,50,7.07692307692,4,2,2,1,2,1,1,1,3,1,2,2,4
10,1,25,7.26923076923,1,3,2,3,1,2,0,1,4,2,3,2,2
10,0,39,7.11538461538,2,3,1,1,2,2,2,3,2,1,3,3,1
10,1,63,6.69230769231,3,1,4,2,0,2,3,3,1,0,3,2,2
10,1,6,6.65384615385,4,0,2,2,3,2,3,2,0,2,2,3,1
10,0,19,6.92307692308,1,2,1,3,4,1,3,3,2,1,0,4,1
10,0,51,6.84615384615,2,2,1,2,4,2,3,2,0,2,2,2,2
10,0,21,7.84615384615,3,0,1,0,3,2,2,3,2,3,2,2,3
10,1,107,6.42307692308,3,3,1,4,2,3,0,2,0,2,1,1,4
10,0,73,6.96153846154,2,2,2,3,2,1,3,1,3,1,1,1,4
10,1,60,7.03846153846,1,3,0,2,3,4,2,2,1,2,3,2,1
10,1,41,7.03846153846,2,2,3,1,2,2,2,0,3,3,3,1,2
10,1,21,7.5,1,2,2,1,1,2,3,3,2,3,3,2,1
10,1,79,7.57692307692,2,2,0,4,1,1,2,2,2,2,3,2,3
10,0,102,6.42307692308,4,2,1,2,1,3,2,2,3,3,0,1,2
10,1,30,5.92307692308,3,3,3,3,2,3,1,1,1,0,2,2,2
10,0,38,6.42307692308,3,3,2,1,1,4,2,2,1,2,1,3,1
10,0,17,6.80769230769,2,2,3,1,2,1,3,3,2,2,2,2,1
10,1,89,7.0,1,2,2,4,1,1,1,4,2,4,2,1,1
10,1,146,7.15384615385,3,2,3,1,1,1,2,2,1,2,3,2,3
10,1,66,7.23076923077,1,3,3,2,1,1,2,2,2,2,2,2,3
10,1,74,7.46153846154,0,1,2,3,2,2,2,4,3,3,1,1,2
10,1,36,6.84615384615,3,3,1,2,2,2,2,2,0,1,3,2,3
10,0,115,7.42307692308,4,0,0,0,2,4,3,3,2,2,2,2,2
10,0,53,7.42307692308,1,1,2,1,3,2,3,3,1,4,2,2,1
10,1,75,7.5,1,1,2,1,3,3,2,2,2,3,2,3,1
10,1,55,7.03846153846,2,2,3,1,1,1,2,4,2,2,3,3,0
10,1,42,7.23076923077,2,3,0,3,2,0,3,3,0,3,3,2,2
10,1,96,6.34615384615,3,1,2,3,3,2,4,1,2,1,0,1,3
10,1,51,6.65384615385,3,2,3,3,0,2,2,1,1,3,2,2,2
10,1,74,6.92307692308,3,2,1,1,4,1,2,3,1,2,2,1,3
10,1,73,6.84615384615,2,3,3,2,1,2,3,0,1,1,3,2,3
10,1,45,6.80769230769,2,3,2,2,2,1,3,2,2,0,2,3,2
10,0,74,6.88461538462,2,2,2,3,2,1,3,2,1,2,2,1,3
10,0,89,6.92307692308,1,2,3,1,3,2,4,2,1,2,1,1,3
10,0,19,7.34615384615,2,2,2,2,2,1,2,2,1,2,3,2,3
10,1,31,6.65384615385,3,1,3,2,3,2,1,3,1,1,1,2,3
10,0,16,6.57692307692,2,1,3,3,2,2,2,3,2,1,2,3,0
10,0,45,6.07692307692,2,3,3,3,3,2,1,2,1,1,1,3,1
10,0,55,7.34615384615,1,1,2,3,4,2,1,2,2,0,3,1,4
10,1,63,6.73076923077,1,2,3,2,2,2,2,3,2,3,3,1,0
10,0,21,7.19230769231,1,3,3,0,1,2,3,2,4,2,1,2,2
10,1,63,7.30769230769,2,1,0,2,2,3,3,3,2,4,2,1,1
10,1,22,7.46153846154,1,3,3,2,1,2,1,0,2,2,3,3,3
10,1,21,6.03846153846,1,1,4,4,3,3,3,1,2,1,1,1,1
10,1,13,7.69230769231,0,2,2,2,3,1,2,3,1,3,2,3,2
10,0,52,7.53846153846,3,0,1,3,2,1,2,3,2,1,3,2,3
