0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
6,1,92,6.53846153846,2,3,3,2,2,2,0,2,3,2,1,3,1
6,0,23,7.76923076923,1,1,2,2,2,2,1,3,2,3,2,3,2
6,1,189,7.0,2,2,2,2,3,3,0,2,2,0,3,3,2
6,1,75,6.69230769231,3,3,1,2,1,3,2,2,2,0,3,2,2
6,1,49,6.5,1,2,2,2,3,3,4,2,1,4,0,2,0
6,1,66,6.23076923077,3,1,3,2,2,3,3,3,1,1,1,2,1
6,1,46,6.5,2,2,2,3,1,3,4,2,2,1,1,0,3
6,1,72,7.73076923077,2,1,2,2,2,2,2,0,2,2,3,2,4
6,0,45,7.42307692308,2,2,2,2,1,3,1,1,1,2,4,3,2
6,1,69,6.84615384615,1,1,4,3,3,1,2,2,1,3,0,4,1
6,1,42,7.07692307692,2,1,3,3,2,2,1,1,3,1,2,2,3
6,1,240,7.11538461538,2,1,1,3,3,2,2,3,1,2,3,0,3
6,1,104,7.30769230769,2,2,1,3,2,1,1,3,2,2,3,1,3
6,1,151,7.46153846154,2,2,2,1,2,1,2,2,2,3,2,3,2
6,1,106,6.38461538462,3,1,3,2,2,3,3,2,1,1,2,1,2
6,0,18,6.80769230769,3,1,3,2,2,1,2,2,4,0,1,3,2
6,1,59,6.61538461538,4,1,3,1,3,2,1,2,1,1,2,3,2
6,1,23,7.61538461538,2,1,0,4,1,3,2,0,3,3,2,3,2
6,0,113,7.46153846154,2,2,1,3,1,2,2,1,2,2,3,2,3
6,0,44,6.69230769231,2,3,2,3,2,2,1,1,3,1,1,2,3
6,1,53,8.11538461538,1,1,1,3,2,1,2,2,1,4,1,4,3
6,0,33,7.73076923077,2,1,1,2,2,3,1,2,2,2,2,3,3
6,0,70,7.23076923077,2,1,2,1,2,4,2,2,2,2,2,2,2
6,0,212,7.69230769231,1,0,2,3,3,0,4,3,1,2,2,2,3
6,1,165,6.76923076923,2,3,0,4,2,2,3,0,3,1,2,2,2
6,1,37,5.96153846154,4,2,3,2,1,2,2,3,2,1,2,1,1
6,1,310,8.15384615385,1,2,0,2,3,1,1,3,1,4,2,2,4
6,0,42,7.38461538462,2,1,2,4,1,2,0,1,4,3,0,3,3
6,1,108,7.53846153846,0,3,3,2,1,1,3,1,3,1,2,4,2
