Country_Code,GDP,year
CV,2514.16779255327,2005
CV,2379.79636224135,2004
CV,2186.89500422765,2003
CV,2127.70872296502,2002
CV,2051.21733888102,2001
CV,2037.31720912714,2000
CV,1809.80582624137,1999
CV,1652.11117220593,1998
CV,1492.01847422507,1997
CV,1365.49820603623,1996
CV,1248.28104350759,1995
CV,1113.93806476467,1994
CV,953.861011115729,1993
CV,896.519359558541,1992
CV,826.681399309547,1991
CV,835.120723175504,1990
CV,846.574036092057,1989
CV,813.037458467319,1988
CV,777.830957355952,1987
CV,756.26010041403,1986
CV,745.620229080143,1985
CV,696.047255683761,1984
CV,680.309270761066,1983
CV,630.373215165836,1982
CV,622.175843789433,1981
CV,581.755065828323,1980
CV,NA,1979
CV,NA,1978
CV,NA,1977
CV,NA,1976
CV,NA,1975
CV,NA,1974
CV,NA,1973
CV,NA,1972
CV,NA,1971
CV,NA,1970
CV,NA,1969
CV,NA,1968
CV,NA,1967
CV,NA,1966
CV,NA,1965
CV,NA,1964
CV,NA,1963
CV,NA,1962
CV,NA,1961
CV,NA,1960
DZ,4717.0035885361,2018
DZ,4742.90075532529,2017
DZ,4768.73140081027,2016
DZ,4685.05902729002,2015
DZ,4634.10149179952,2014
DZ,4543.23444006767,2013
DZ,4518.43978956464,2012
DZ,4501.3543013352,2011
DZ,4456.6102741643,2010
DZ,4336.10054052949,2009
DZ,4367.56538017541,2008
DZ,4339.25055772831,2007
DZ,4279.61547120827,2006
DZ,4223.60252133943,2005
DZ,4066.28204806495,2004
DZ,3945.89816094007,2003
DZ,3754.66081538446,2002
DZ,3610.00605631983,2001
DZ,3553.32420521991,2000
DZ,3471.49196276497,1999
DZ,3410.88254401644,1998
DZ,3297.46603361265,1997
DZ,3322.95538141474,1996
DZ,3255.18726869561,1995
DZ,3201.56914402566,1994
DZ,3302.91950568634,1993
DZ,3455.92936294162,1992
DZ,3478.50976269176,1991
DZ,3605.68701212608,1990
DZ,3666.85307879595,1989
DZ,3606.26838801656,1988
DZ,3746.16566713693,1987
DZ,3888.36475872916,1986
DZ,4002.55619415318,1985
DZ,3993.39540513038,1984
DZ,3912.93659124038,1983
DZ,3840.57538596882,1982
DZ,3731.93905389477,1981
DZ,3742.71024718729,1980
DZ,3830.80959219257,1979
DZ,3672.11777956222,1978
DZ,3459.30399620709,1977
DZ,3408.01820820021,1976
DZ,3290.82760114691,1975
DZ,3245.60799488701,1974
DZ,3093.38055507312,1973
DZ,3050.82216641747,1972
DZ,2449.95226859772,1971
DZ,2826.24146248781,1970
DZ,2655.44328833884,1969
DZ,2505.31409679333,1968
DZ,2313.2585876383,1967
DZ,2161.49133930108,1966
DZ,2311.73974611394,1965
DZ,2209.90697857327,1964
DZ,2122.43109189689,1963
DZ,1604.48773834557,1962
DZ,2027.2735152594,1961
DZ,2388.42007866513,1960
TD,898.669040353434,2018
TD,878.913785540893,2017
TD,923.494348293965,2016
TD,993.990730610869,2015
TD,993.25648925195,2014
TD,1008.54996552116,2013
TD,1016.65896756228,2012
TD,965.593242567789,2011
TD,956.724153813537,2010
TD,870.353795767171,2009
